index,offer_id,filename,public_url
2113,lc-358588A24,2113_lc-358588A24.jpg,https://raw.githubusercontent.com/adb-4Partners/ozon-auto-infographics-20260709-jpg/main/2113_lc-358588A24.jpg
2114,lc-315776A25,2114_lc-315776A25.jpg,https://raw.githubusercontent.com/adb-4Partners/ozon-auto-infographics-20260709-jpg/main/2114_lc-315776A25.jpg
2115,lc-356740A25,2115_lc-356740A25.jpg,https://raw.githubusercontent.com/adb-4Partners/ozon-auto-infographics-20260709-jpg/main/2115_lc-356740A25.jpg
2116,lc-315771A25,2116_lc-315771A25.jpg,https://raw.githubusercontent.com/adb-4Partners/ozon-auto-infographics-20260709-jpg/main/2116_lc-315771A25.jpg
2117,lc-358588A25,2117_lc-358588A25.jpg,https://raw.githubusercontent.com/adb-4Partners/ozon-auto-infographics-20260709-jpg/main/2117_lc-358588A25.jpg
2118,lc-350994A25,2118_lc-350994A25.jpg,https://raw.githubusercontent.com/adb-4Partners/ozon-auto-infographics-20260709-jpg/main/2118_lc-350994A25.jpg
2119,lc-350995A24,2119_lc-350995A24.jpg,https://raw.githubusercontent.com/adb-4Partners/ozon-auto-infographics-20260709-jpg/main/2119_lc-350995A24.jpg
2120,lc-350995A25,2120_lc-350995A25.jpg,https://raw.githubusercontent.com/adb-4Partners/ozon-auto-infographics-20260709-jpg/main/2120_lc-350995A25.jpg
2121,lc-358134A23,2121_lc-358134A23.jpg,https://raw.githubusercontent.com/adb-4Partners/ozon-auto-infographics-20260709-jpg/main/2121_lc-358134A23.jpg
2122,lc-311839A24,2122_lc-311839A24.jpg,https://raw.githubusercontent.com/adb-4Partners/ozon-auto-infographics-20260709-jpg/main/2122_lc-311839A24.jpg
2123,lc-315185A25,2123_lc-315185A25.jpg,https://raw.githubusercontent.com/adb-4Partners/ozon-auto-infographics-20260709-jpg/main/2123_lc-315185A25.jpg
2124,lc-315581A25,2124_lc-315581A25.jpg,https://raw.githubusercontent.com/adb-4Partners/ozon-auto-infographics-20260709-jpg/main/2124_lc-315581A25.jpg
2125,lc-356586A25,2125_lc-356586A25.jpg,https://raw.githubusercontent.com/adb-4Partners/ozon-auto-infographics-20260709-jpg/main/2125_lc-356586A25.jpg
2126,lc-357598A25,2126_lc-357598A25.jpg,https://raw.githubusercontent.com/adb-4Partners/ozon-auto-infographics-20260709-jpg/main/2126_lc-357598A25.jpg
